Wall time,Step,Value
1772903245.9450245,20,6.4679274559021
1772903418.698618,40,6.88862419128418
1772903589.0381896,60,6.3661017417907715
1772903763.893411,80,5.804089546203613
1772903936.3939502,100,5.368086338043213
1772904157.1091948,120,4.739588737487793
1772904334.194231,140,3.921142578125
1772904509.9747198,160,2.4729692935943604
