Wall time,Step,Value
1772903245.9454782,20,-0.19294893741607666
1772903418.6990333,40,-0.2547726631164551
1772903589.0386367,60,-0.20074740052223206
1772903763.893816,80,-0.2220352590084076
1772903936.3943622,100,-0.21364614367485046
1772904157.1096141,120,-0.26097947359085083
1772904334.1946266,140,-0.2419116050004959
1772904509.9751213,160,-0.2669050395488739
