Wall time,Step,Value
1772903245.9455268,20,-0.2282768189907074
1772903418.699082,40,-0.28819018602371216
1772903589.0386894,60,-0.24710425734519958
1772903763.8938637,80,-0.2524351477622986
1772903936.3944108,100,-0.25009626150131226
1772904157.1096637,120,-0.29905587434768677
1772904334.194673,140,-0.2777138352394104
1772904509.9751682,160,-0.3014546036720276
